
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
79	Danube Debaters	Novice	4th	4th	4th	3rd	2nd	3	712	0	1
80	EyUpSheff		4th	3rd	3rd	4th	—	2	548	0	0
81	Imperial Go Easy On Us 🍀		4th	4th	4th	4th	4th	0	707	0	0
82	Swing AUBERGINE parmigiana		—	—	—	—	4th	0	144	0	0
83	Swing Curry COMBO		—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1=	Harish Natarajan		Harish and Matt	83	84	83	84	84	418	83.60	0.49
1=	Jack Synnott		We came here to end racism and win 	82	86	84	85	81	418	83.60	1.85
1=	Mark Rothery		We came here to end racism and win 	80	87	86	85	80	418	83.60	3.01
4=	Matt Caito		Harish and Matt	82	83	81	83	85	414	82.80	1.33
4=	Zarina Bell-Gam		one worlds win and the dickhead’s g	83	80	83	83	85	414	82.80	1.60
4=	Lucy Murphy		Not to victim blame, but Lucy deser	82	82	84	84	82	414	82.80	0.98
4=	Rumen Marinov	ESL	Avanti Ragazzi di Buda	80	82	87	80	85	414	82.80	2.79
8=	Xiao-ke Lu		Princeton/McGill LR	77	83	84	87	82	413	82.60	3.26
8=	Aidan Woo		Asian John and White Yoko	82	83	83	82	83	413	82.60	0.49
8=	Jack Palmer		Not to victim blame, but Lucy deser	81	82	85	81	84	413	82.60	1.62
11=	Aniket Chakravorty		one worlds win and the dickhead’s g	83	80	83	82	84	412	82.40	1.36
11=	Ye Joo Han		Apply to join our hedge fund	82	79	82	83	86	412	82.40	2.24
13	Radko Nedyalkov	ESL	Avanti Ragazzi di Buda	79	81	86	80	85	411	82.20	2.79
14	Joseph Lewis		Parth Pandya&#x27;s Peter Parker Partner	81	85	81	83	80	410	82.00	1.79
15	Devesh Kodnani		Apply to join our hedge fund	81	79	82	81	86	409	81.80	2.32
16	Max Rosen		Princeton/McGill LR	78	81	83	85	81	408	81.60	2.33
17	Wajeeh Maaz		drink on us for guessing who debate	82	80	79	83	83	407	81.40	1.62
18=	Alek Selveliev	ESL	Harish if he was young, poor and ha	77	83	79	86	81	406	81.20	3.12
18=	Abhinav Bathula		Ninja Pagongs	84	82	77	80	83	406	81.20	2.48
18=	Parth Pandya		Parth Pandya&#x27;s Peter Parker Partner	81	85	79	80	81	406	81.20	2.04
21=	Alexandra McCreadie		wooooo!!! debating!!!!! Let’s go!!!	78	80	83	82	82	405	81.00	1.79
21=	Eleanor Douglas		Asian John and White Yoko	80	82	81	81	81	405	81.00	0.63
21=	Lucie Slamova		drink on us for guessing who debate	81	80	79	83	82	405	81.00	1.41
24=	Velina Andonova	ESL	Harish if he was young, poor and ha	77	83	79	85	80	404	80.80	2.86
24=	Dhruv Hariharan		ETH Zürich DT	80	84	82	77	81	404	80.80	2.32
26=	Ana Coman	ESL	Burning trashfire	82	78	83	78	82	403	80.60	2.15
26=	Isabelle Sim Yun Yi		Hooting and Hollering until the Cha	81	82	83	77	80	403	80.60	2.06
26=	Keerthana Bathula		Challenging Universal Notions Towar	81	83	81	80	78	403	80.60	1.62
26=	Emily Frizell		Fax don&#x27;t care about your fealty	82	78	82	81	80	403	80.60	1.50
26=	Josh Kemp		In Russia, death and sex are the sa	81	84	79	81	78	403	80.60	2.06
26=	Zainab Sardar		Dr Strangelove or How I Learned to	77	84	79	79	84	403	80.60	2.87
32	Taha Iqbal		Challenging Universal Notions Towar	80	83	82	80	77	402	80.40	2.06
33=	Taran Molloy		Hooting and Hollering until the Cha	81	82	83	76	79	401	80.20	2.48
33=	Jack Stanley		In Russia, death and sex are the sa	81	82	78	82	78	401	80.20	1.83
33=	Rohan Campion		Extending into your mum&#x27;s dms	79	80	81	78	83	401	80.20	1.72
33=	Umar Buckus		UCL (A)lternate Timeline	82	78	81	77	83	401	80.20	2.32
37=	Dylan McCarthy		Fax don&#x27;t care about your fealty	81	76	82	81	78	398	79.60	2.24
