
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
75	Durham Could be getting a tan, instead be		3rd	3rd	3rd	2nd	3rd	6	759	0	1
76	Meiirzhan &amp; Nurtas	ESL	1st	3rd	4th	3rd	3rd	6	756	1	0
77	GUU (C)an you spot the difference?	Novice	3rd	4th	3rd	3rd	1st	6	754	1	0
78=	TCD Hist C	Novice	2nd	4th	2nd	2nd	4th	6	754	0	3
78=	This debate? Gnarly	ESL, Novice	4th	2nd	2nd	4th	2nd	6	754	0	3
80	HH political overreach into my pants	Novice	3rd	2nd	3rd	2nd	4th	6	754	0	2
81	NDU Norwich A	Novice	3rd	3rd	3rd	3rd	2nd	6	752	0	1
82	LLA_Rowma		3rd	4th	2nd	3rd	2nd	6	751	0	2
83	please i just want to go		4th	3rd	3rd	2nd	2nd	6	750	0	2
84	DAV Aachen YJ	ESL	3rd	4th	2nd	4th	1st	6	748	1	1
85	we have 2 principle arguments	ESL, Novice	4th	1st	4th	4th	1st	6	745	2	0
86	Kimbhut Kimakar	ESL	4th	4th	1st	2nd	3rd	6	742	1	1
87	IITB what’s in a name?	ESL, Novice	4th	3rd	3rd	3rd	1st	6	738	1	0
88	The lion respects the autonomy of		2nd	4th	3rd	1st	—	6	603	1	1
89	Chicago Lima &amp; Yoshida		3rd	1st	2nd	—	—	6	457	1	1
90	Second time&#x27;s the charm	Novice	2nd	4th	2nd	4th	3rd	5	763	0	2
91	Warwick This House Would Break (But Not Up		3rd	4th	1st	3rd	4th	5	762	1	0
92	RLFC~	ESL, Novice	2nd	4th	3rd	2nd	4th	5	761	0	2
93	cyberpunk edgerunning		3rd	4th	3rd	2nd	3rd	5	750	0	1
94	BDU Beating you like we beat the Berli	ESL	4th	2nd	4th	1st	4th	5	749	1	1
95	are we picking a team name or are	ESL	4th	4th	2nd	3rd	2nd	5	747	0	2
96	IITB we weigh in kilos not pounds	ESL	4th	4th	1st	4th	2nd	5	742	1	1
97	SoBo Crusaders	ESL, Novice	4th	4th	3rd	1st	3rd	5	739	1	0
98	A fossil was coaxed out of retirem	ESL	4th	3rd	4th	3rd	1st	5	734	1	0
