
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
8=	Stephanie Chen		Harvard 1	81	82	80	81	82	406	81.20	0.75
8=	Tarun Ruschmeier	ESL	Princeton 1	81	83	78	81	83	406	81.20	1.83
10=	Humaid Saleem		Harvard 5	77	79	83	81	85	405	81.00	2.83
10=	Shayor Ahmad Khan		Berkeley 3	78	83	84	79	81	405	81.00	2.28
12	Manuel Machorro		Bates 1	80	80	82	82	80	404	80.80	0.98
13	Ambika Grover		Harvard 1	80	80	81	79	82	402	80.40	1.02
14=	Alex Lee 🍚	Novice	Harvard 6	80	78	80	80	83	401	80.20	1.60
14=	Nir Amin		Harvard 8	82	81	77	81	80	401	80.20	1.72
16=	Will Ryan		UCLA 1	80	81	81	78	80	400	80.00	1.10
16=	Ananya Ganesh		Harvard 5	76	80	81	80	83	400	80.00	2.28
16=	Ted Chang		Harvard 6	78	79	81	80	82	400	80.00	1.41
16=	Tanya Chatterjee		Columbia 2	80	80	83	78	79	400	80.00	1.67
16=	Aashna Parikh	Novice	Princeton 4	80	80	79	79	82	400	80.00	1.10
16=	Manav Mittal		Bates 1	78	81	80	81	80	400	80.00	1.10
16=	Veer Juneja		USC 1	81	80	81	79	79	400	80.00	0.89
23=	Zach Berg	Novice	Harvard 2	80	79	78	80	82	399	79.80	1.33
23=	Daniel Sheremeta		Harvard 2	80	80	78	78	83	399	79.80	1.83
23=	Molly Callaghan		Harvard 3	81	78	80	81	79	399	79.80	1.17
23=	Catherine Liu		Harvard 3	80	79	79	81	80	399	79.80	0.75
23=	Rohan Sundaram		Columbia 2	81	79	82	78	79	399	79.80	1.47
28	Seamus Allen		Stanford 3	79	80	80	77	82	398	79.60	1.62
29	Emma Blemaster		Stanford 3	80	80	80	78	79	397	79.40	0.80
30=	Annushka Agarwal		Harvard 7	81	77	80	78	80	396	79.20	1.47
30=	Robiah Arefin Ibn Mahmud	Novice, ESL	Amherst 1	80	78	79	82	77	396	79.20	1.72
30=	Clement Tsao	Novice	UPenn 1	77	79	82	79	79	396	79.20	1.60
30=	Darshanik Aryal	Novice	Harvard 8	81	79	77	80	79	396	79.20	1.33
34	Faith Liu		Rochester 1	76	78	78	82	81	395	79.00	2.19
35=	Martin Huang	Novice	UCLA 1	80	77	79	79	79	394	78.80	0.98
35=	William Hallward-Driemeier		Williams 1	80	77	78	80	79	394	78.80	1.17
35=	Sherissa Wu		USC 1	79	77	80	79	79	394	78.80	0.98
38=	Talia Ehrenberg	Novice	Amherst 1	77	79	79	81	77	393	78.60	1.50
38=	Omesh Dhar Dwivedi		Drexel 1	80	79	77	80	77	393	78.60	1.36
38=	Charles Ndlovu	ESL	Rochester 1	77	78	78	80	80	393	78.60	1.20
41=	Alba Borrego		UCLA 2	79	75	82	78	78	392	78.40	2.24
41=	Sophia Zuo		Princeton 2	77	78	77	80	80	392	78.40	1.36
41=	Dheeraj Pasikanti		UW-Madison 1	78	79	77	79	79	392	78.40	0.80
