
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
2	Xiao-ke Lu		Princeton/Chicago XD	81	84	82	83	84	414	82.80	1.17
3	Devesh Kodnani		Princeton/Chicago XD	80	85	82	83	82	412	82.40	1.62
4	Max Fan		Harvard GF	79	84	81	82	81	407	81.40	1.62
5=	Emma Jones		Independent BJ	80	78	88	83	76	405	81.00	4.20
5=	Max &quot;🇫🇷 🇫🇷 🇫🇷&quot; Williams		Independent KW	78	79	83	82	83	405	81.00	2.10
5=	Daniel Sheremeta		Harvard CS	77	84	80	81	83	405	81.00	2.45
8=	Andrew Liu	Novice	Independent LX	81	81	80	80	82	404	80.80	0.75
8=	Ananya Ganesh		Harvard GF	79	84	81	81	79	404	80.80	1.83
10	Karel Brandenbarg		Independent BJ	80	77	86	83	77	403	80.60	3.50
11	Akram Mokhtari		QCER CM	79	80	82	79	81	401	80.20	1.17
12=	Emma Blemaster		Stanford BD	80	81	80	82	77	400	80.00	1.67
12=	Muhammad Dhafer		Stanford BD	79	82	81	80	78	400	80.00	1.41
14	Jaleelah Ammar		Southern AB	78	79	77	82	83	399	79.80	2.32
15=	Nicholas Abernethy		Independent AW	78	80	82	80	78	398	79.60	1.50
15=	Elizabeth Li		Stanford BL	79	82	78	80	79	398	79.60	1.36
17=	Molly Callaghan	Novice	Harvard CS	75	81	79	80	82	397	79.40	2.42
17=	Nilabh Agrawal		UBC AM	79	81	82	80	75	397	79.40	2.42
19=	Nimai Koneru		Independent KW	76	78	82	79	80	395	79.00	2.00
19=	Benjamin Thomas		Stanford CT	78	80	81	76	80	395	79.00	1.79
19=	Emily Shi		Hart House CE	78	83	77	78	79	395	79.00	2.10
19=	Catherine Liu		Harvard GL	77	78	82	79	79	395	79.00	1.67
23=	Rahul Kalavagunta		Princeton/JHU KW	81	77	75	80	81	394	78.80	2.40
23=	Claire Beamer		Stanford BF	77	81	80	79	77	394	78.80	1.60
23=	Amy Chang		Stanford CT	78	80	80	77	79	394	78.80	1.17
23=	Crystal Zhang	Novice	Hart House CE	80	82	76	78	78	394	78.80	2.04
27=	Lily Mckay		Independent MM	81	79	75	81	77	393	78.60	2.33
27=	Diggory Waddle		Independent AW	78	78	81	80	76	393	78.60	1.74
27=	Cameron Miranda-Radbord		Hart House AC	82	79	75	78	79	393	78.60	2.24
27=	Inqiyad Patwary		Waterloo PZ	76	81	79	77	80	393	78.60	1.85
31=	Vivek Sapru		Independent SR	78	77	78	79	80	392	78.40	1.02
31=	David Chapdelaine		QCER CM	77	80	79	78	78	392	78.40	1.02
31=	Sajid Farook		Stanford BF	76	80	80	79	77	392	78.40	1.62
31=	Amitai Ben Porat		Stanford BL	75	81	79	80	77	392	78.40	2.15
31=	Adam Banihani		Hart House AA	79	77	79	82	75	392	78.40	2.33
31=	Elaine Zhao		Waterloo PZ	77	82	78	77	78	392	78.40	1.85
37=	Jonah Rosen		Independent SR	77	78	78	79	79	391	78.20	0.75
37=	Charles Ndlovu		Rochester IN	76	77	81	76	81	391	78.20	2.32
37=	Arpi Yang		Hart House AA	81	77	78	81	74	391	78.20	2.64
37=	Sherry Shu		Western SS	81	78	74	77	81	391	78.20	2.64
41=	Anais Kneppers		EDS KO	80	78	79	76	77	390	78.00	1.41
41=	Ambika Grover	Novice	Harvard GV	77	78	74	80	81	390	78.00	2.45
41=	Stine Isak		Rochester IN	77	76	81	76	80	390	78.00	2.10
