
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
76	Swing 2		3rd	2nd	4th	3rd	4th	4	752	0	1
77	Already been with one andrew, do n		2nd	3rd	4th	3rd	4th	4	746	0	1
78	TU Dublin TUD Be Honest, We peaked at regist		4th	4th	2nd	3rd	3rd	4	719	0	1
79	Tel Aviv University Tutus and Tiaras		3rd	3rd	4th	2nd	—	4	620	0	1
80	Experiencing hermeneutical injusti		4th	1st	3rd	—	—	4	466	1	0
81	(B)anned swapped died or banned sw		4th	4th	4th	4th	1st	3	744	1	0
82	(P)roof is in the (E)ye of the beh		4th	2nd	4th	4th	3rd	3	737	0	1
83	professional message ghoster	ESL	4th	3rd	2nd	4th	4th	3	730	0	1
84	FGV-SP	ESL, Novice	3rd	4th	3rd	4th	—	2	607	0	0
85	swing 5		—	—	2nd	—	—	2	159	0	1
86	Sudden Comp	ESL, Novice	4th	4th	3rd	—	—	1	442	0	0
87	Deleglobe A	ESL	—	4th	—	3rd	4th	1	441	0	0
88	Delhi Aami tumhare bhalobhasi	ESL, Novice	3rd	—	—	—	—	1	153	0	0
89	cricket fan with a commentator	ESL	4th	4th	—	—	—	0	298	0	0
90	Nawabi Jawab	ESL	4th	4th	—	—	—	0	292	0	0
91	swing 6		—	—	4th	—	—	0	150	0	0
92	swing 4		—	—	4th	—	—	0	138	0	0
93=	Liverpool We only aim to benefit lesbians	ESL	—	—	—	—	—	—	—	0	0
93=	LSE A		—	—	—	—	—	—	—	0	0
93=	Auto Gang	ESL	—	—	—	—	—	—	—	0	0
93=	swing 7		—	—	—	—	—	—	—	0	0
93=	swing 8		—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Jack Story	EPL	UCL Rick and Morty	85	81	82	82	80	410	82.00	1.67
2	Matt Mauriello	EPL	A K-pop star and his bodyguard	80	82	82	81	83	408	81.60	1.02
3=	Biser Angelov	ESL	40% of addicts relapse two years a	84	81	80	78	82	405	81.00	2.00
3=	Leo Marinopoulos	ESL	Oxford A	78	81	82	82	82	405	81.00	1.55
3=	Max Papaioannides	ESL	Oxford A	78	80	83	83	81	405	81.00	1.90
