
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
74	The Island Boiz	ESL	3rd	3rd	2nd	3rd	2nd	7	766	0	2
75	TCD Hist Law/pol on tour	Novice	3rd	3rd	1st	3rd	3rd	7	764	1	0
76	Twink and a Blonde		3rd	2nd	1st	3rd	4th	7	762	1	1
77	DTUxIITB MS	ESL	4th	1st	4th	3rd	1st	7	761	2	0
78	Hart House HH Openly AI		4th	2nd	1st	3rd	3rd	7	757	1	1
79	Plato (Nanjiba) is a hallucination	ESL, Novice	2nd	3rd	4th	2nd	2nd	7	746	0	3
80	UCL B		1st	3rd	2nd	3rd	—	7	624	1	1
81	Barcelona A	ESL	2nd	—	—	1st	2nd	7	467	1	2
82	UBC film major wannabe	ESL	3rd	1st	3rd	3rd	4th	6	775	1	0
83	UCD L&amp;H L&amp;H D		2nd	4th	4th	1st	3rd	6	769	1	1
84	Taking hai(kyuu)speaks		4th	4th	1st	2nd	3rd	6	766	1	1
85	KCL Tbd		1st	4th	4th	1st	4th	6	764	2	0
86	Cyberbullies	ESL, Novice	3rd	2nd	1st	4th	4th	6	764	1	1
87	BG NDT Levski	ESL, Novice	3rd	4th	2nd	3rd	2nd	6	764	0	2
88	IIT Bombay still support rcb	ESL, Novice	3rd	4th	3rd	1st	3rd	6	759	1	0
89	TUT A	ESL	4th	2nd	1st	4th	3rd	6	755	1	1
90	Tartu B	ESL	3rd	4th	2nd	1st	4th	6	754	1	1
91=	Moraitis Politically fluid	ESL, Novice	4th	3rd	2nd	4th	1st	6	752	1	1
91=	Rustler than ever	ESL	2nd	4th	4th	3rd	1st	6	752	1	1
93	EDS Pedro Pedro Pedro 🦝		4th	3rd	1st	3rd	3rd	6	752	1	0
94	Swing B		4th	3rd	2nd	4th	1st	6	751	1	1
95	LCC moto moto		2nd	4th	4th	2nd	2nd	6	749	0	3
96	McGill i paused my fortnite to be here	Novice	4th	1st	2nd	4th	3rd	6	747	1	1
97	Technion D	ESL	2nd	3rd	3rd	2nd	—	6	619	0	2
98	NU SA	ESL	1st	3rd	4th	3rd	4th	5	770	1	0
99	Seedless Christians Against Moms		3rd	3rd	2nd	4th	3rd	5	768	0	1
100	KYU Foster Kids	ESL, Novice	3rd	4th	1st	3rd	4th	5	758	1	0
101=	Hart House HH Secretly AI	Novice	4th	1st	2nd	4th	4th	5	756	1	1
101=	Ruining our sleep schedules for th		1st	4th	4th	4th	2nd	5	756	1	1
103	Malaysia Madani	ESL	2nd	4th	4th	2nd	3rd	5	756	0	2
104	NU W	ESL	2nd	4th	1st	4th	4th	5	755	1	1
105	IIT Bombay trigonometric male ( and female )	ESL	3rd	4th	4th	2nd	2nd	5	754	0	2
106	Swing A		3rd	2nd	3rd	4th	3rd	5	754	0	1
107	Hong Kong Dummies	ESL, Novice	4th	2nd	3rd	4th	2nd	5	750	0	2
108	St Andrews together we are still below averag		3rd	3rd	4th	1st	4th	5	748	1	0
109	CUDS KR		4th	1st	2nd	4th	4th	5	739	1	1
110	University of Western Ohio Debate	Novice	—	4th	4th	1st	2nd	5	600	1	1
111	UWODS wpgg		—	2nd	3rd	3rd	3rd	5	596	0	1
112	JKUAT Debater ? I get along with her pre	ESL	—	—	—	1st	2nd	5	299	1	1
113	KNUST Cucaracha	ESL	4th	2nd	2nd	4th	4th	4	756	0	2
114	CUDS Vamps	Novice	3rd	2nd	3rd	4th	4th	4	756	0	1
115	VIT Whaddefok is a Lok Sabha	ESL, Novice	4th	4th	1st	3rd	4th	4	743	1	0
116	TUT B	ESL	4th	4th	3rd	4th	1st	4	732	1	0
117	Useless while Uncultured (UwU)		3rd	4th	4th	2nd	3rd	4	719	0	1
118	KNUST Olives&amp;Vines	ESL	4th	3rd	3rd	2nd	—	4	607	0	1
119	Sofia A	ESL	1st	3rd	—	—	—	4	324	1	0
120	APDA tries BP	ESL	4th	2nd	3rd	4th	4th	3	752	0	1
121	NU F	ESL	4th	4th	2nd	3rd	4th	3	746	0	1
122=	NU Ss	ESL, Novice	4th	4th	3rd	3rd	3rd	3	737	0	0
122=	The real Smooth Operator and Il Pr	ESL, Novice	4th	4th	3rd	3rd	3rd	3	737	0	0
124	NU &amp; Turan	ESL	4th	3rd	2nd	4th	4th	3	733	0	1
125	IIT Bombay Can we get a bo’le of wa’er?	ESL, Novice	3rd	4th	4th	4th	2nd	3	732	0	1
126	Akadem Sofik from Karaganda	ESL	4th	4th	4th	2nd	3rd	3	726	0	1
