
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
78	STBA PIA RW	ESL	4th	2nd	1st	4th	4th	5	740	1	1
79	Rosario Le voy a dar en la cara marica	ESL	3rd	2nd	3rd	4th	4th	4	768	0	1
80	VIT loves Bengali women	ESL	3rd	3rd	3rd	4th	3rd	4	763	0	0
81	Swing 1		2nd	4th	3rd	4th	3rd	4	749	0	1
82	Imperial India &amp; Pakistan reunified	Novice	3rd	1st	4th	4th	4th	4	744	1	0
83	Sciences Po SPU	ESL, Novice	3rd	3rd	4th	2nd	4th	4	731	0	1
84	UGM A	ESL	4th	4th	3rd	4th	1st	4	716	1	0
85	HWS A		4th	4th	2nd	2nd	—	4	600	0	2
86	Swing 2		—	—	3rd	1st	—	4	306	1	0
87	Turan	ESL	4th	4th	4th	3rd	2nd	3	754	0	1
88	Tokyo C	Novice	4th	3rd	2nd	4th	4th	3	741	0	1
89	IIT Bombay IITB SN	ESL	4th	3rd	3rd	3rd	—	3	614	0	0
90	MUST We both abandoned by our worlds pa	ESL	3rd	4th	4th	4th	3rd	2	753	0	0
91	KMC2	ESL, Novice	4th	4th	4th	2nd	4th	2	742	0	1
92	Woke Westerners		4th	2nd	—	—	—	2	304	0	1
93	Imperial one of us is hungover	Novice	4th	4th	3rd	—	4th	1	573	0	0
94	Swing 3		—	—	—	4th	—	0	140	0	0
95=	Belgrade (B)osnu furamo uvek		—	—	—	—	—	—	—	0	0
95=	Ahmed Hussain		—	—	—	—	—	—	—	0	0
95=	Dania Khan		—	—	—	—	—	—	—	0	0
95=	Shahriar Mahmud		—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1=	Lucie Slamova		brace yourselves, we too developed	82	83	80	83	83	411	82.20	1.17
1=	Jason Xiao		brace yourselves, we too developed	81	83	80	83	84	411	82.20	1.47
1=	Hadar Goldberg	ESL	TAU A	81	82	83	81	84	411	82.20	1.17
4	Elinor Stephenson		Sydney Pyrrhic Punters	83	81	83	83	80	410	82.00	1.26
5	Benjamin Diskin		Sydney (F)ellas	82	83	81	82	81	409	81.80	0.75
6	Ilija Ivanišević	ESL	Belgrade A	78	83	82	83	82	408	81.60	1.85
7	Tamar Ben Meir	ESL	TAU A	80	81	82	81	83	407	81.40	1.02
8=	Charlie Ryan		Sydney B	80	82	78	83	83	406	81.20	1.94
8=	Sam Druce		ANU Hariharan &amp; Druce	80	81	81	83	81	406	81.20	0.98
10=	Sophie Shead		Sydney A	83	78	81	84	79	405	81.00	2.28
10=	Eli Pallrand		throwing a whole bluefin tuna at m	82	82	78	82	81	405	81.00	1.55
10=	Matthew Toomey		Sydney B	80	79	79	84	83	405	81.00	2.10
13=	Đorđe Radosavljević	ESL	Belgrade A	79	82	80	82	81	404	80.80	1.17
13=	Luke		Cambridge AM	81	80	81	83	79	404	80.80	1.33
13=	Oscar Chaffey		Sydney Brayan and Chaffey	79	82	82	80	81	404	80.80	1.17
13=	Sam Trotter		Sydney (F)ellas	82	82	79	81	80	404	80.80	1.17
17=	Matt Mauriello		throwing a whole bluefin tuna at m	83	81	78	81	80	403	80.60	1.62
17=	Shireen Ali	ESL	Sunway had one too many drinks in KLCC	79	82	82	80	80	403	80.60	1.20
17=	Dhruv Hariharan		ANU Hariharan &amp; Druce	80	82	80	82	79	403	80.60	1.20
17=	William Smith		i am bob (intuition pumped)	81	82	81	79	80	403	80.60	1.02
21=	Fraser McConachie		Cambridge AM	80	80	81	82	79	402	80.40	1.02
